날짜,자산,분류,소분류,내용,KRW,수입/지출,메모,금액,화폐,자산
2024/02/11 13:04:35,대구은행,문화생활,게임,스팀,66000,지출,발더게,66000,KRW,66000
2024/02/10 20:06:11,대구은행,문화생활,음악/도서,리디,3880,지출,던전밥,3880,KRW,3880
2024/02/09 16:05:09,대구은행,식비,카페,이디야,2900,지출,스콘,2900,KRW,2900
2024/02/09 13:27:33,대구은행,식비,카페,이디야,3900,지출,망고 요거트,3900,KRW,3900
2024/02/09,대구은행,문화생활,어플,유튜브 멤버십,1990,지출,,1990,KRW,1990
2024/02/08 19:44:27,대구은행,패션/미용,헤어/뷰티,다이소,5000,지출,팩,5000,KRW,5000
2024/02/07 19:02:05,대구은행,패션/미용,헤어/뷰티,다이소,3000,지출,파데 브러쉬,3000,KRW,3000
2024/02/05 18:47:37,대구은행,식비,간식,편의점,1000,지출,호올스 민트,1000,KRW,1000
2024/02/05 18:24:05,대구은행,생활용품,잡화소모,다이소,3000,지출,2포트 충전기,3000,KRW,3000
2024/02/03 17:29:23,대구은행,식비,외식,미분당,9500,지출,차돌박이 쌀국수,9500,KRW,9500
2024/02/01,대구은행,청년희망적금,,청년희망적금,500000,이체출금,,500000,KRW,500000
