날짜,자산,분류,소분류,내용,KRW,수입/지출,메모,금액,화폐,자산
2024/03/12 21:39:33,대구은행,🚖 교통/차량,대중교통,기차,43500,지출,대구 서울,43500,KRW,43500
2024/03/12 09:13:27,대구은행,🍜 식비,식료품,허닭,37800,지출,샐러드 6팩,37800,KRW,37800
2024/03/12 01:58:38,BC카드,🖼 문화생활,영화/공연,넷플릭스,5500,지출,,5500,KRW,5500
2024/03/11 17:35:25,대구은행,🍜 식비,카페,이디야,0,지출,매콤로제주먹밥 2000원,0,KRW,0
2024/03/11 15:41:26,대구은행,🍜 식비,카페,이디야,3200,지출,아아메,3200,KRW,3200
2024/03/10 20:09:35,대구은행,🍜 식비,카페,더벤티,3500,지출,핫 오트카페라떼,3500,KRW,3500
2024/03/10 20:06:37,대구은행,🍜 식비,간식,이마트,13130,지출,,13130,KRW,13130
2024/03/09 15:20:05,대구은행,🍜 식비,카페,더벤티,2700,지출,핫카페라떼,2700,KRW,2700
2024/03/09 15:17:05,대구은행,🍜 식비,식료품,이마트,11970,지출,,11970,KRW,11970
2024/03/09,대구은행,🖼 문화생활,어플,유튜브 멤버십,1990,지출,,1990,KRW,1990
2024/03/08 20:02:05,대구은행,🍜 식비,외식,서브웨이,5900,지출,,5900,KRW,5900
2024/03/08 18:48:05,대구은행,🧘🏼 건강,병원,치과,77300,지출,,77300,KRW,77300
2024/03/08 17:34:25,대구은행,🚖 교통/차량,대중교통,교카충전,30000,지출,,30000,KRW,30000
2024/03/07 22:20:05,대구은행,🍜 식비,간식,이마트,4980,지출,요거트,4980,KRW,4980
2024/03/05 19:59:31,대구은행,🍜 식비,간식,뚱2,4000,지출,딸기바나나크레페,4000,KRW,4000
2024/03/05 18:15:05,대구은행,🍜 식비,외식,서브웨이,6700,지출,,6700,KRW,6700
2024/03/04 19:49:05,대구은행,🖼 문화생활,취미,포스타입,3000,지출,,3000,KRW,3000
2024/03/04 08:21:05,대구은행,🚖 교통/차량,택시,택시,8400,지출,,8400,KRW,8400
2024/03/04 00:23:58,대구은행,🍜 식비,식료품,허닭,37000,지출,샐러드,37000,KRW,37000
2024/03/03 18:45:05,대구은행,🚖 교통/차량,택시,경주여행,7000,지출,,7000,KRW,7000
2024/03/03 09:33:36,대구은행,🍜 식비,외식,"나빌레라, 다인동갈비",34000,지출,,34000,KRW,34000
2024/03/03 07:33:36,대구은행,🚖 교통/차량,택시,택시,6200,지출,,6200,KRW,6200
2024/03/03 07:33:36,대구은행,🖼 문화생활,영화/공연,전시,10000,지출,,10000,KRW,10000
2024/03/03 07:33:36,대구은행,🍜 식비,간식,간식,1800,지출,"양념감자, 십원빵",1800,KRW,1800
2024/03/03 07:33:36,대구은행,🍜 식비,카페,카페,21400,지출,"가봉반과, 베이글 베이글러",21400,KRW,21400
2024/03/01 18:45:05,대구은행,🍜 식비,카페,더벤티,2700,지출,핫카페라떼,2700,KRW,2700
2024/03/01,대구은행,청년희망적금,,청년희망적금,500000,이체출금,,500000,KRW,500000
